county_tract,count_bagel_shops,rating_num,total_pop,state_county_tract,ALAND_SQMI,bagel_per_capita,bagel_per_capita_sq
047023300,5,3.25,5884.0,36047023300,0.066,0.849762066621346,0.9218253992060242
081004500,5,3.0,3194.0,36081004500,0.085,1.5654351909830932,1.251173525528371
081004300,5,2.75,2283.0,36081004300,0.066,2.190100744634253,1.4798988967609419
047024700,5,2.6666666666666665,2672.0,36047024700,0.069,1.8712574850299402,1.367939137911457
047026500,5,3.0,4118.0,36047026500,0.062,1.2141816415735793,1.1018991068031498
047031300,5,2.6666666666666665,5055.0,36047031300,0.067,0.9891196834817012,0.9945449630266604
047031702,5,2.6666666666666665,3315.0,36047031702,0.054,1.5082956259426847,1.2281268769726867
047031900,5,2.6666666666666665,3141.0,36047031900,0.058,1.591849729385546,1.2616852735074409
047033300,5,3.0,4547.0,36047033300,0.072,1.0996261271167802,1.048630596118948
047033500,5,3.0,3034.0,36047033500,0.07,1.6479894528675016,1.283740414907742
047033700,5,3.0,3856.0,36047033700,0.076,1.2966804979253113,1.1387187966856924
061030300,5,3.2,4535.0,36061030300,0.06,1.1025358324145536,1.0500170629159098
047045400,5,3.25,1681.0,36047045400,0.051,2.9744199881023197,1.7246506858208475
061029500,5,3.2,8182.0,36061029500,0.052,0.6110975311659741,0.781727274160224
061029300,5,3.2,9397.0,36061029300,0.061,0.5320847078854953,0.7294413669963442
047039200,5,4.2,2880.0,36047039200,0.067,1.736111111111111,1.3176156917368247
047039400,5,4.0,2338.0,36047039400,0.074,2.1385799828913603,1.4623884514353087
047039800,5,4.0,2878.0,36047039800,0.078,1.7373175816539264,1.318073435607412
047040800,5,3.2,3646.0,36047040800,0.059,1.3713658804168953,1.1710533209110914
047041000,5,3.2,2048.0,36047041000,0.055,2.44140625,1.5625
047041200,5,3.25,3328.0,36047041200,0.064,1.5024038461538463,1.2257258446136503
047041700,5,3.4,3132.0,36047041700,0.054,1.5964240102171137,1.2634967392981724
047043500,5,3.4,5115.0,36047043500,0.065,0.9775171065493646,0.9886946477802763
047043700,5,3.4,5696.0,36047043700,0.065,0.8778089887640449,0.9369146112448268
047044400,5,3.0,3589.0,36047044400,0.067,1.3931457230426303,1.1803159420437523
047045200,5,3.25,2514.0,36047045200,0.072,1.988862370723946,1.4102703183162957
047060000,5,2.75,6277.0,36047060000,0.17,0.7965588657001752,0.8925014653770464
047060600,5,3.25,2811.0,36047060600,0.069,1.7787264318747777,1.3336890311743506
047014000,5,3.2,1986.0,36047014000,0.057,2.5176233635448138,1.5867020399384422
081045500,5,3.3333333333333335,14284.0,36081045500,0.057,0.3500420050406049,0.5916434779836628
047003100,5,3.0,3259.0,36047003100,0.11,1.5342129487572875,1.2386335005792826
081055300,5,3.4,2786.0,36081055300,0.053,1.7946877243359654,1.339659555385608
081055500,5,3.2,2335.0,36081055500,0.059,2.1413276231263385,1.4633275857190482
047008800,5,3.2,2235.0,36047008800,0.073,2.237136465324385,1.4957060089885261
081016300,5,3.8,3519.0,36081016300,0.084,1.4208581983518045,1.1919975664202527
047001300,5,3.0,1917.0,36047001300,0.113,2.6082420448617634,1.615005277038364
081014500,5,3.6,2412.0,36081014500,0.049,2.0729684908789388,1.439780709302267
047000301,5,3.2,3924.0,36047000301,0.078,1.2742099898063202,1.1288091024643272
047000200,5,3.2,1167.0,36047000200,0.107,4.284490145672665,2.06990099900277
081054700,5,3.2,5048.0,36081054700,0.05,0.9904912836767037,0.9952342858225413
047006300,5,3.25,1866.0,36047006300,0.04,2.679528403001072,1.636926511179128
047005800,5,3.0,2827.0,36047005800,0.075,1.7686593562079944,1.3299095293319747
047012700,5,3.6,4318.0,36047012700,0.063,1.1579434923575729,1.0760778282064791
047012200,5,3.6,5482.0,36047012200,0.07,0.9120758847136082,0.9550266408397245
081007900,5,2.75,2685.0,36081007900,0.062,1.86219739292365,1.364623535237338
047008200,5,3.2,3594.0,36047008200,0.054,1.3912075681691707,1.1794946240526791
061018200,4,3.75,7902.0,36061018200,0.068,0.5062009617818274,0.7114780121562629
081001900,4,3.25,4358.0,36081001900,0.335,0.9178522257916476,0.9580460457575344
047033100,4,3.0,4058.0,36047033100,0.055,0.9857072449482505,0.9928279029863385
047034300,4,3.0,5163.0,36047034300,0.063,0.7747433662599265,0.880195072844609
047051400,4,2.5,7834.0,36047051400,0.07,0.5105948429920858,0.7145591948831712
047032100,4,2.6666666666666665,5488.0,36047032100,0.062,0.7288629737609329,0.8537347209531383
081010300,4,4.0,4136.0,36081010300,0.097,0.9671179883945842,0.9834215720608249
061018400,4,4.0,7116.0,36061018400,0.068,0.5621135469364812,0.7497423203584557
081062100,4,3.3333333333333335,2896.0,36081062100,0.1,1.3812154696132597,1.1752512368056711
